,Technology,Tissue,Dataset,Sample,Number of Spots,Number of Genes,Genes Detected per Spot,Sparsity,Avg Expression per Spot,Avg Non Zero Expression per Spot,Number of Clusters,Annotation_Level,Original_Annotation,Level
251,STARmap,Brain,Mouse Medial Prefrontal Cortex,BZ14,1088,166,50.49908088,0.695788669,2.675125133,8.356574044,15,celltype,Unsupervised clustering + Marker genes,Level 1
252,STARmap,Brain,Mouse Visual Cortex,20180505_BY3_1kgenes,1207,1020,235.927092,0.768698929,0.459176064,1.951001763,7,domain,Manual Annotation,Level 1
253,STARmap,Brain,Mouse Visual Cortex,20180505_BY3_1kgenes,1207,1020,235.927092,0.768698929,0.459176064,1.951001763,15,celltype,Unsupervised clustering + Marker genes,Level 1
254,STARmap,Brain,Mouse Visual Cortex,20180410_BY3_1kgenes,930,1020,295.2451613,0.71054396,0.675042167,2.244222969,15,celltype,Unsupervised clustering + Marker genes,Level 1
255,Stereoseq,Brain,Mouse Olfactory Bulb,S1,107416,26145,578.8390649,0.97786043,0.055626585,2.468040868,12,domain,Layer marker genes,Level 1
256,Stereoseq,Brain,Mouse Olfactory Bulb,S2,104931,23815,565.6727183,0.976247209,0.059584618,2.455677096,11,domain,Layer marker genes,Level 1
257,Stereoseq,Brain,Mouse Hemi-Brain,Data_Whole,38746,26177,1335.316704,0.948988933,0.136036513,2.518873163,20,domain,Layer marker genes,Level 1
258,Stereoseq,Brain,Mouse Hemi-Brain,Cell_Bin_Data_Whole,46436,25879,793.3019425,0.969098742,0.054172193,1.97787654,28,celltype,Cell type marker genes,Level 1
259,Stereoseq,Brain,MOSAT,E16.5_E1S3_cell_bin_whole_brain,64718,23368,554.960861,0.976235535,0.049601873,2.274148405,33,celltype,Cell type marker genes,Level 1
260,VisiumHD,Brain,Mouse Brain,FFPE,98917,19059,690.0716156,0.963792874,0.047142841,1.235876203,15,domain,Unsupervised clustering,Level 3
261,VisiumHD,Brain,Mouse Brain,Fixed Frozen,109332,19059,926.6588739,0.95137946,0.066435419,1.297349334,19,domain,Unsupervised clustering,Level 3
262,VisiumHD,Brain,Mouse Brain,Fresh Frozen,113885,19059,2261.583018,0.881337792,0.215912387,1.652246356,26,domain,Unsupervised clustering,Level 3
263,VisiumHD,Intestine,Colorectal Cancer,Sample_P1_CRC,378837,18085,202.0599176,0.988827209,0.014394292,1.237089128,9,celltype,Unsupervised clustering + Marker genes,Level 1
264,VisiumHD,Intestine,Colorectal Cancer,Sample_P2_CRC,461459,18085,456.5817397,0.974753567,0.031434167,1.236368821,9,celltype,Unsupervised clustering + Marker genes,Level 1
265,VisiumHD,Intestine,Colorectal Cancer,Sample_P5_CRC,448083,18085,364.0773004,0.979868548,0.02872204,1.330401774,9,celltype,Unsupervised clustering + Marker genes,Level 1
266,CosMx,Lung,NSCLC,NSCLC_Sample10,54002,960,124.0610903,0.870769698,0.325772285,2.077733278,18,celltype,Supervised Transfer,Level 2
267,CosMx,Lung,NSCLC,NSCLC_Sample10,54002,960,124.0610903,0.870769698,0.325772285,2.077733278,9,niche,Unsupervised clustering + Cell type neighborhood composition,Level 2
268,CosMx,Lung,NSCLC,NSCLC_Sample16,52865,960,115.1428734,0.880059507,0.278567314,1.949103951,18,celltype,Supervised Transfer,Level 2
269,CosMx,Lung,NSCLC,NSCLC_Sample16,52865,960,115.1428734,0.880059507,0.278567314,1.949103951,9,niche,Unsupervised clustering + Cell type neighborhood composition,Level 2
270,CosMx,Lung,NSCLC,NSCLC_Sample22,57993,960,132.4556067,0.86202541,0.380625248,2.17404747,18,celltype,Supervised Transfer,Level 2
271,CosMx,Lung,NSCLC,NSCLC_Sample22,57993,960,132.4556067,0.86202541,0.380625248,2.17404747,10,niche,Unsupervised clustering + Cell type neighborhood composition,Level 2
272,CosMx,Lung,NSCLC,NSCLC_Sample28,58423,960,139.6604933,0.854520319,0.422394425,2.289207697,18,celltype,Supervised Transfer,Level 2
273,CosMx,Lung,NSCLC,NSCLC_Sample28,58423,960,139.6604933,0.854520319,0.422394425,2.289207697,10,niche,Unsupervised clustering + Cell type neighborhood composition,Level 2
274,CosMx,Brain,Mouse Brain,Mouse_Brain_Hemisphere,48180,950,374.0832503,0.606228158,1.637164078,3.619080402,44,celltype,Unsupervised clustering + Marker genes,Level 1
275,CosMx,Brain,Mouse Brain,Mouse_Brain_Hemisphere,48180,950,374.0832503,0.606228158,1.637164078,3.619080402,18,niche,Unsupervised clustering + Cell type neighborhood composition,Level 2
276,CosMx,Brain,Mouse Brain,Mouse_Brain_Hippocampus,38736,950,379.8608271,0.600146498,1.844746924,3.911324415,42,celltype,Unsupervised clustering + Marker genes,Level 1
277,CosMx,Brain,Mouse Brain,Mouse_Brain_Hippocampus,38736,950,379.8608271,0.600146498,1.844746924,3.911324415,16,niche,Unsupervised clustering + Cell type neighborhood composition,Level 2
278,Xenium,Brain,Human Breast Cancer,Human_Breast_Cancer_Rep1,159226,313,64.84911384,0.792814333,0.632052958,2.812106371,19,celltype,Supervised Transfer,Level 2
279,Xenium,Brain,Human Breast Cancer,Human_Breast_Cancer_Rep2,115275,313,65.43219258,0.790951461,0.631865382,2.788365841,19,celltype,Supervised Transfer,Level 2
280,Xenium,Brain,Mouse Brain,Mouse_Brain_MultiSection1,155133,248,81.85827,0.669926331,1.213002563,3.382947683,83,domain,Manual Annotation,Level 1
281,Slideseq,Brain,Mouse OB,GSM5173925_OB1_Slide1,15820,21354,481.4414665,0.977454272,0.035740092,1.46485579,4,domain,Layer marker genes,Level 1
282,Slideseq,Brain,Mouse OB,GSM5173926_OB1_Slide2,13000,21645,684.5317692,0.968374601,0.054944467,1.613506198,4,domain,Layer marker genes,Level 1
283,Slideseq,Brain,Mouse OB,GSM5173927_OB1_Slide3,16180,22068,514.742089,0.976674729,0.03780669,1.5469203,4,domain,Layer marker genes,Level 1
284,Slideseq,Brain,Mouse OB,GSM5173928_OB1_Slide4,19553,22019,481.0852555,0.978151358,0.036946058,1.64006567,4,domain,Layer marker genes,Level 1
285,Slideseq,Brain,Mouse OB,GSM5173929_OB1_Slide5,22190,22170,449.8856242,0.979707459,0.032737978,1.566517353,4,domain,Layer marker genes,Level 1
286,Slideseq,Brain,Mouse OB,GSM5173930_OB1_Slide6,23572,21997,476.6545478,0.978330929,0.035518959,1.55371511,4,domain,Layer marker genes,Level 1
287,Slideseq,Brain,Mouse OB,GSM5173931_OB1_Slide7,24619,21651,384.3489581,0.982247981,0.027229425,1.484426737,4,domain,Layer marker genes,Level 1
288,Slideseq,Brain,Mouse OB,GSM5173932_OB1_Slide8,19179,21646,471.0778977,0.978237185,0.034833964,1.506183505,4,domain,Layer marker genes,Level 1
289,Slideseq,Brain,Mouse OB,GSM5173933_OB1_Slide9,28311,21957,431.1016566,0.980366095,0.029224487,1.415142536,4,domain,Layer marker genes,Level 1
290,Slideseq,Brain,Mouse OB,GSM5173934_OB1_Slide10,26542,22167,474.8946198,0.978576505,0.032578502,1.453940392,4,domain,Layer marker genes,Level 1
291,Slideseq,Brain,Mouse OB,GSM5173935_OB1_Slide11,22199,22428,391.1686112,0.982558917,0.026055386,1.419736743,4,domain,Layer marker genes,Level 1
292,Slideseq,Brain,Mouse OB,GSM5173936_OB1_Slide12,26868,22003,501.1847551,0.977221981,0.035378072,1.44164145,4,domain,Layer marker genes,Level 1
293,Slideseq,Brain,Mouse OB,GSM5173937_OB1_Slide13,24549,22771,393.5739949,0.982715999,0.025823055,1.400375724,4,domain,Layer marker genes,Level 1
294,Slideseq,Brain,Mouse OB,GSM5173938_OB1_Slide14,18453,22199,405.6625481,0.981726089,0.027406456,1.412802696,4,domain,Layer marker genes,Level 1
295,Slideseq,Brain,Mouse OB,GSM5173939_OB1_Slide15,27014,21826,439.3765455,0.979869122,0.029796217,1.409368157,4,domain,Layer marker genes,Level 1
296,Slideseq,Brain,Mouse OB,GSM5173940_OB1_Slide16,18298,21815,454.2533064,0.97917702,0.030542111,1.356932878,4,domain,Layer marker genes,Level 1
297,Slideseq,Brain,Mouse OB,GSM5173941_OB1_Slide17,19257,21809,457.8507036,0.979006341,0.034415133,1.601322889,4,domain,Layer marker genes,Level 1
298,Slideseq,Brain,Mouse OB,GSM5173942_OB1_Slide18,18297,21641,388.529595,0.982046597,0.028019961,1.503035188,4,domain,Layer marker genes,Level 1
299,Slideseq,Brain,Mouse OB,GSM5173943_OB1_Slide19,11593,21602,382.5790563,0.982289646,0.027557729,1.525627494,4,domain,Layer marker genes,Level 1
300,Slideseq,Brain,Mouse OB,GSM5173944_OB1_Slide20,4457,21434,469.9192282,0.97807599,0.031602185,1.336429119,2,domain,Layer marker genes,Level 1
301,Slideseq,Brain,Brain,Puck_200115_08_data,41614,4000,12.26243572,0.973608984,0.003250162,1.082333344,14,celltype,Supervised Transfer,Level 2
302,Slideseq,Brain,Brain,Puck_191204_01_data,34199,22457,338.8756104,0.984910023,0.022557816,1.363555598,42,celltype,Unsupervised clustering,Level 3
303,Slideseq,Brain,Brain,Puck_200127_15_data,21724,21220,344.1239182,0.983783039,0.021915203,1.22629446,31,celltype,Unsupervised clustering,Level 3
304,Slideseq,Brain,Brain,Puck_200306_03_data,42550,22542,345.1429847,0.984688893,0.022492483,1.318055305,29,celltype,Unsupervised clustering,Level 3
305,Slideseq,Brain,Brain,SCP948_data,39496,23096,253.910396,0.989006304,0.014372646,1.246422208,26,celltype,Unsupervised clustering,Level 3
306,Slideseq,Lung,Human Lung,Puck_200727_08,18851,25582,380.6774707,0.985119323,0.022059586,1.388177872,9,celltype,Supervised Transfer,Level 2
307,Slideseq,Lung,Human Lung,Puck_200727_09,14990,24824,322.6913276,0.987000833,0.018462075,1.34760499,9,celltype,Supervised Transfer,Level 2
308,Slideseq,Lung,Human Lung,Puck_200727_10,15366,25594,415.4450735,0.983767872,0.024834877,1.418668747,9,celltype,Supervised Transfer,Level 2
309,Slideseq,Lung,Human Lung,Puck_220408_13,40217,29731,180.0344133,0.993944556,0.00765919,1.221635699,8,celltype,Supervised Transfer,Level 2
310,Slideseq,Lung,Human Lung,Puck_220408_14,37568,30623,217.2539395,0.99290553,0.009648294,1.297518373,8,celltype,Supervised Transfer,Level 2
311,Slideseq,Lung,Human Lung,Puck_220408_15,35839,30246,236.354251,0.992185603,0.01102687,1.355400205,8,celltype,Supervised Transfer,Level 2
312,Slideseq,Lung,Human Lung,Puck_220408_20,37563,31174,232.7875569,0.992532638,0.010380092,1.331783533,8,celltype,Supervised Transfer,Level 2
313,Slideseq,Melanoma,Melanoma brain metastasis,ECM01_rep1_data,27325,24710,519.3829826,0.978980859,0.027292395,1.237333894,10,celltype,Unsupervised clustering,Level 3
314,Slideseq,Melanoma,Melanoma brain metastasis,ECM01_rep2_data,24150,25036,532.539793,0.978729038,0.027967673,1.253409147,9,celltype,Unsupervised clustering,Level 3
315,Slideseq,Melanoma,Melanoma brain metastasis,ECM06_data,25461,25850,336.3252033,0.986989354,0.019468252,1.318762541,9,celltype,Unsupervised clustering,Level 3
316,Slideseq,Melanoma,Melanoma brain metastasis,ECM08_data,30015,27089,400.616092,0.985211116,0.019655148,1.231531382,10,celltype,Unsupervised clustering,Level 3
317,Slideseq,Melanoma,Melanoma brain metastasis,ECM10_data,37363,28763,466.5653722,0.983778974,0.023255074,1.295276165,9,celltype,Unsupervised clustering,Level 3
318,Slideseq,Melanoma,Melanoma brain metastasis,MBM05_rep1_data,29536,27854,425.6773429,0.984717551,0.020594889,1.231559634,14,celltype,Unsupervised clustering,Level 3
319,Slideseq,Melanoma,Melanoma brain metastasis,MBM05_rep2_data,32228,29080,433.2799739,0.985100414,0.021526668,1.297892451,11,celltype,Unsupervised clustering,Level 3
320,Slideseq,Melanoma,Melanoma brain metastasis,MBM06_data,27072,29129,547.4316268,0.981206645,0.029415578,1.364852905,16,celltype,Unsupervised clustering,Level 3
321,Slideseq,Melanoma,Melanoma brain metastasis,MBM07_data,38462,27648,508.0629452,0.981623881,0.028801182,1.386504889,11,celltype,Unsupervised clustering,Level 3
322,Slideseq,Melanoma,Melanoma brain metastasis,MBM08_data,35054,28244,404.0881212,0.985692957,0.020493435,1.305021524,14,celltype,Unsupervised clustering,Level 3
323,Slideseq,Melanoma,Melanoma brain metastasis,MBM11_rep1_data,27475,28751,321.7162875,0.988810257,0.015671456,1.297815204,14,celltype,Unsupervised clustering,Level 3
324,Slideseq,Melanoma,Melanoma brain metastasis,MBM11_rep2_data,39049,30314,459.3945556,0.984845466,0.02479573,1.445392609,12,celltype,Unsupervised clustering,Level 3
325,Slideseq,Melanoma,Melanoma brain metastasis,MBM11_rep3_data,9628,27158,277.9982343,0.989763671,0.012972774,1.21995604,18,celltype,Unsupervised clustering,Level 3
326,Slideseq,Melanoma,Melanoma brain metastasis,MBM13_data,32657,26681,376.9341029,0.985872565,0.018832784,1.245789051,9,celltype,Unsupervised clustering,Level 3
327,Slideseq,Melanoma,Melanoma brain metastasis,MBM18_data,38423,27746,459.6623897,0.983433202,0.023424502,1.284812331,9,celltype,Unsupervised clustering,Level 3
328,Slideseq,Testis,mammalian spermatogenesis,Diabetes_1_data,27194,24420,633.1583805,0.974072138,0.035625284,1.282769023,9,celltype,Supervised Transfer,Level 2
329,Slideseq,Testis,mammalian spermatogenesis,Diabetes_2_data,42776,24263,358.9477277,0.985205963,0.02084992,1.285786366,9,celltype,Supervised Transfer,Level 2
330,Slideseq,Testis,mammalian spermatogenesis,Diabetes_3_data,33441,23514,537.6331748,0.977135614,0.034496191,1.373895567,9,celltype,Supervised Transfer,Level 2
331,Slideseq,Testis,mammalian spermatogenesis,WT1_data,31659,24450,567.0653527,0.976807143,0.031563317,1.278360821,9,celltype,Supervised Transfer,Level 2
332,Slideseq,Testis,mammalian spermatogenesis,WT2_data,33059,23741,598.8784597,0.974774506,0.038200536,1.36832199,9,celltype,Supervised Transfer,Level 2
333,Slideseq,Testis,mammalian spermatogenesis,WT3_data,39206,23705,510.5959802,0.97846041,0.033723408,1.454715603,9,celltype,Supervised Transfer,Level 2
334,Slideseq,Lymph Node,Human Lymph Node,Puck_201014_06,26027,23887,307.4912207,0.987127257,0.016363595,1.211912394,6,celltype,Supervised Transfer,Level 2
335,Slideseq,Lymph Node,Human Lymph Node,Puck_220215_11,21003,28575,291.726182,0.98979086,0.015186326,1.43021965,9,celltype,Supervised Transfer,Level 2
336,Slideseq,Lymph Node,Human Lymph Node,Puck_220215_13,27757,30306,329.1182765,0.989140161,0.015692091,1.391689539,9,celltype,Supervised Transfer,Level 2
337,Slideseq,Lymph Node,Human Lymph Node,Puck_220215_14,36785,32013,362.8178334,0.988666547,0.017045032,1.426890254,9,celltype,Supervised Transfer,Level 2
338,Slideseq,Lymph Node,Human Lymph Node,Puck_220408_07,40982,30146,309.1094383,0.989746254,0.014955488,1.407192588,9,celltype,Supervised Transfer,Level 2
339,Slideseq,Lymph Node,Human Lymph Node,Puck_220408_09,37275,29418,280.1802549,0.99047589,0.012675118,1.297087908,9,celltype,Supervised Transfer,Level 2
340,Slideseq,Lymph Node,Human Lymph Node,Puck_220408_12,37193,29874,265.2813433,0.991119993,0.011556405,1.27026546,9,celltype,Supervised Transfer,Level 2
341,Slideseq,Tonsil,Human Tonsil,Puck_210119_22,26917,23252,201.6264443,0.991328641,0.010933896,1.233508587,6,celltype,Supervised Transfer,Level 2
342,Slideseq,Spleen,Mouse Spleen,Puck_200727_02,11510,20218,289.0466551,0.985703499,0.019152813,1.28425169,6,celltype,Supervised Transfer,Level 2
343,Slideseq,Kidney,Human Normal,Puck_200104_15,24366,25377,140.9362226,0.994446301,0.004127622,0.774119794,13,celltype,Supervised Transfer,Level 2
344,Slideseq,Kidney,Human Normal,Puck_200104_16,22471,23266,80.56018869,0.996537428,0.002514115,0.736938536,13,celltype,Supervised Transfer,Level 2
345,Slideseq,Kidney,Human Normal,Puck_200104_17,16705,25667,215.6527387,0.991598054,0.006435486,0.854824722,8,celltype,Supervised Transfer,Level 2
346,Slideseq,Kidney,Human Normal,Puck_200104_18,16720,26129,218.4635167,0.99163904,0.006434836,0.861434221,8,celltype,Supervised Transfer,Level 2
347,Slideseq,Kidney,Human Normal,Puck_200104_20,26695,25236,129.5588312,0.994866111,0.003785595,0.749544203,12,celltype,Supervised Transfer,Level 2
348,Slideseq,Kidney,Human Normal,Puck_200104_21,20661,24311,84.70151493,0.996515918,0.002511987,0.726727903,12,celltype,Supervised Transfer,Level 2
349,Slideseq,Kidney,Human Normal,Puck_200104_23,14698,25041,130.938495,0.994771036,0.003996139,0.903890669,9,celltype,Supervised Transfer,Level 2
350,Slideseq,Kidney,Human Normal,Puck_200113_08,22386,24562,82.90846958,0.996624523,0.002547472,0.849032044,12,celltype,Supervised Transfer,Level 2
351,Slideseq,Kidney,Human Normal,Puck_200113_09,12946,22592,97.90653484,0.995666318,0.003236909,0.834318995,8,celltype,Supervised Transfer,Level 2
352,Slideseq,Kidney,Human Normal,Puck_200113_10,17280,25307,202.8560185,0.991984193,0.006281496,0.897772133,8,celltype,Supervised Transfer,Level 2
353,Slideseq,Kidney,Mouse Normal,Puck_191109_07,21825,20550,191.5451546,0.990679068,0.012688714,1.291848898,14,celltype,Supervised Transfer,Level 2
354,Slideseq,Kidney,Mouse Normal,Puck_191109_08,26486,19446,84.37408442,0.995661108,0.00552324,1.216152787,13,celltype,Supervised Transfer,Level 2
355,Slideseq,Kidney,Mouse Normal,Puck_191109_09,25279,20262,129.1000831,0.993628463,0.008451241,1.252716422,14,celltype,Supervised Transfer,Level 2
356,Slideseq,Kidney,Mouse Normal,Puck_191109_10,12465,19388,121.456077,0.993735503,0.007990991,1.21604526,13,celltype,Supervised Transfer,Level 2
357,Slideseq,Kidney,Mouse Normal,Puck_191112_02,17926,21286,221.4145933,0.989598112,0.016012911,1.396500707,14,celltype,Supervised Transfer,Level 2
358,Slideseq,Kidney,Mouse Normal,Puck_191112_04,13096,20812,187.3225412,0.990999301,0.012451447,1.286999464,9,celltype,Supervised Transfer,Level 2
359,Slideseq,Kidney,Mouse Normal,Puck_191112_05,9075,19621,71.24363636,0.996369011,0.005150831,1.304499984,12,celltype,Supervised Transfer,Level 2
360,Slideseq,Kidney,Mouse Normal,Puck_191112_07,12675,19157,109.9015385,0.994263113,0.00793321,1.291994929,13,celltype,Supervised Transfer,Level 2
361,Slideseq,Kidney,Mouse Normal,Puck_191112_13,14497,17669,52.73801476,0.997015224,0.003983201,1.231522322,11,celltype,Supervised Transfer,Level 2
362,Slideseq,Kidney,Mouse Normal,Puck_191204_13,30477,22102,270.7393772,0.987750458,0.016941719,1.253705263,14,celltype,Supervised Transfer,Level 2
363,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191109_14,10930,18956,102.6534309,0.994584647,0.008096117,1.428996086,12,celltype,Supervised Transfer,Level 2
364,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191109_18,16582,18064,61.87329635,0.996574773,0.004977034,1.422188163,13,celltype,Supervised Transfer,Level 2
365,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191109_19,16936,18447,62.17932215,0.996629299,0.004400163,1.241214156,13,celltype,Supervised Transfer,Level 2
366,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191109_20,12038,17811,58.60375478,0.996709688,0.004765029,1.430273533,13,celltype,Supervised Transfer,Level 2
367,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191112_08,6968,18662,80.60706085,0.995680685,0.00508629,1.130741,12,celltype,Supervised Transfer,Level 2
368,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191204_03,18868,21508,349.742368,0.983738964,0.025502034,1.374382973,14,celltype,Supervised Transfer,Level 2
369,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191204_04,20917,21855,326.9578811,0.985039676,0.022873504,1.360675335,14,celltype,Supervised Transfer,Level 2
370,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191204_05,26388,21564,293.687699,0.986380648,0.019791855,1.314982176,14,celltype,Supervised Transfer,Level 2
371,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191204_07,29130,22121,234.9705458,0.989377942,0.015222518,1.300891161,14,celltype,Supervised Transfer,Level 2
372,Slideseq,Kidney,Mouse Diabetic Kidney Disease,Puck_191204_08,21518,21265,193.4272237,0.990903963,0.012158376,1.231231689,14,celltype,Supervised Transfer,Level 2
373,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_191223_21,21027,20803,391.7849907,0.981166899,0.029463859,1.407634974,14,celltype,Supervised Transfer,Level 2
374,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_191223_22,18459,21695,436.4575004,0.979882116,0.028967535,1.304166675,10,celltype,Supervised Transfer,Level 2
375,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_191223_23,23176,21431,343.6642216,0.983964154,0.023433484,1.308913708,14,celltype,Supervised Transfer,Level 2
376,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_191223_24,27116,21486,306.3289571,0.985742858,0.020359026,1.296864867,14,celltype,Supervised Transfer,Level 2
377,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_200102_09,24405,21651,413.1795943,0.980916374,0.026858885,1.262877464,10,celltype,Supervised Transfer,Level 2
378,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_200104_06,28902,21086,296.7635112,0.98592604,0.019267663,1.258529067,12,celltype,Supervised Transfer,Level 2
379,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_200104_07,28401,21263,286.5524805,0.986523422,0.019271897,1.297987103,12,celltype,Supervised Transfer,Level 2
380,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_200104_09,23887,21477,390.6932641,0.98180876,0.026945865,1.322176576,13,celltype,Supervised Transfer,Level 2
381,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_200104_10,24454,20322,173.1365421,0.991480339,0.010847545,1.191886544,13,celltype,Supervised Transfer,Level 2
382,Slideseq,Kidney,Mouse Autosomal Dominant Polycystic Kidney Disease,Puck_200104_14,20613,20986,352.7112987,0.983193019,0.024484957,1.299718142,10,celltype,Supervised Transfer,Level 2
