,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Level,Organ
0,ST,Mouse Brain,02A,BASS,0.8052990468176914,0.7405950612814577,0.9063084692748611,0.9541666666666668,0.7685565354266193,0.714596741834558,0.7405950612814576,126.24016795158386,520.1600000000001,0.0375,0.1945228746426957,0.2311533870490888,domain,Brain
1,ST,Mouse Brain,02A,Banksy,0.026022890962097922,0.1747637475614787,0.5278473340096619,0.6625,0.191033279974213,0.1613381523588629,0.17476374756147872,9.617151165008545,765.0474033355713,0.1341666666666666,0.20428211316153622,0.0013037385638829005,domain,Brain
2,ST,Mouse Brain,02A,BayesSpace,0.5059690821993016,0.6037625196910669,0.7302592837118542,0.9541666666666668,0.7491118187659961,0.5056515372297625,0.6037625196910668,126.66970195770264,773.46,0.0666666666666666,0.1970385929158098,0.1979660199497313,domain,Brain
3,ST,Mouse Brain,02A,CCST,0.5255599455386678,0.5580649808775625,0.7443842990612445,0.9225,0.671517281997693,0.4786568081575718,0.5580649808775625,72.69884963035584,643.0426044464111,0.01916666666666664,0.19341109171102136,0.3125748284908587,domain,Brain
4,ST,Mouse Brain,02A,CellCharter,0.3111609906252062,0.37822106600741856,0.6152312227699618,0.8291666666666666,0.46665072315406614,0.3180316008047167,0.37822106600741856,29.87712354660034,1150.6324579238892,0.20999999999999996,0.20750714210758453,0.14980542897587185,domain,Brain
5,ST,Mouse Brain,02A,DeepST,0.36401953178716745,0.4487044669891098,0.6531808524874516,0.8858333333333335,0.5502681177510576,0.3792485481408077,0.4487044669891098,54.75679354667663,657.5514711380005,0.08749999999999995,0.19782099488293584,0.17612610931711042,domain,Brain
6,ST,Mouse Brain,02A,GraphST,0.2402272447598342,0.3538784931418321,0.6369532158928006,0.7375,0.3425535353991568,0.3659778687730893,0.3538784931418321,16.54355082511902,749.5757604598999,0.0166666666666666,0.1918978906750351,0.316954254590703,domain,Brain
7,ST,Mouse Brain,02A,PRECAST,0.443274434135556,0.4023154870588426,0.6997619178708963,0.8083333333333333,0.4860857841953442,0.3431740845230157,0.4023154870588426,6.7693099021911625,296.14,0.2375,0.20625800494282923,0.1750616939686795,domain,Brain
8,ST,Mouse Brain,02A,SEDR,-0.09243923188238756,0.11867258672108143,0.5798830273243073,0.6625,0.10520732101772907,0.1365482294258549,0.11867258672108143,16.366377353668213,986.6411073684692,0.018333333333333302,0.19297591512638143,0.01010590509733106,domain,Brain
9,ST,Mouse Brain,02A,STAGATE,0.3374427582054492,0.33340545460803217,0.634054675100632,0.7633333333333334,0.4088448391107439,0.2814706805361669,0.33340545460803217,23.1186704158783,571.2793558120727,0.25916666666666666,0.21016506302102536,0.12305682731127184,domain,Brain
