,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,Level
0,10x Visium,DLPFC,151507,BASS,0.504906153788966,0.6964700519948472,0.5900746729316805,0.7121535181236673,0.7044176004544089,0.6886998382255448,0.6964700519948471,1786.36577000618,2432.92,domain
1,10x Visium,DLPFC,151507,Banksy,0.4662872567795699,0.6368332520535798,0.5644397245087764,0.6647713811892917,0.6273536837971951,0.6468883068716174,0.6368332520535798,14.573495483398435,687.5726474761963,domain
2,10x Visium,DLPFC,151507,BayesSpace,0.4775898900948039,0.6336498974696614,0.5766419387037393,0.662165363657901,0.6153547849280381,0.653066208304825,0.6336498974696615,2075.7734118938447,8305.3,domain
3,10x Visium,DLPFC,151507,CCST,0.4665013202988935,0.6373220207619782,0.5831228933328376,0.677564558161573,0.5947899879112981,0.688293752775485,0.6373220207619783,342.2532364845276,1626.4160593032836,domain
4,10x Visium,DLPFC,151507,CellCharter,0.439198305464865,0.5853794011484965,0.5346114749274997,0.6608386638237385,0.5950318128116681,0.5761642486396846,0.5853794011484965,205.8453345298767,377.1965770721436,domain
5,10x Visium,DLPFC,151507,DeepST,0.5228678546743051,0.6371725147690945,0.604512670686969,0.7105425254678985,0.6468692093499275,0.6278813442673468,0.6371725147690945,339.8296623706818,5840.225760650635,domain
6,10x Visium,DLPFC,151507,GraphST,0.4048731713446971,0.6190888771827664,0.5278446780571941,0.6344468135512912,0.5820349658133737,0.661181467737701,0.6190888771827664,26.41531090736389,1123.329942703247,domain
7,10x Visium,DLPFC,151507,PRECAST,0.5372834940466679,0.6427644320068783,0.6229503683770427,0.7199715707178393,0.6303785609515998,0.6556467807852953,0.6427644320068783,37.01820802688599,966.98,domain
8,10x Visium,DLPFC,151507,SEDR,0.5321156781554254,0.6790488773928103,0.6180135261467701,0.7045249940772329,0.6695022935339464,0.6893225309140657,0.6790488773928103,23.35296201705933,2199.186318397522,domain
9,10x Visium,DLPFC,151507,STAGATE,0.5460283080457758,0.6710813693990049,0.622679676875465,0.746410803127221,0.6855243437986431,0.6572344220236035,0.6710813693990049,68.83641114234925,392.7487819671631,domain
10,10x Visium,DLPFC,151507,SpaGCN,0.4553904154938349,0.58062973495582,0.5536092290718608,0.6685619521440417,0.5663785862134466,0.5956165661754399,0.5806297349558199,88.30054531097412,1100.7798860549926,domain
11,10x Visium,DLPFC,151507,SpaceFlow,0.5027936333490615,0.6419354702857752,0.5882564697833393,0.714759535655058,0.6495365587632818,0.6346184920907649,0.6419354702857752,58.66516695022583,432.4794723510742,domain
12,10x Visium,DLPFC,151507,SpatialMGCN,0.4707711835173719,0.6044771564134531,0.5616002406742824,0.6704572376214167,0.6085886110874763,0.6004208806450029,0.6044771564134532,66.76495795249939,425.6635768890381,domain
13,10x Visium,DLPFC,151507,stLearn,0.3974013254588202,0.5223724354900117,0.5217015361485742,0.6306562425965411,0.4801382940924325,0.5727532121209573,0.5223724354900117,392.6448361396789,7157.872786140442,domain
14,10x Visium,DLPFC,151508,BASS,0.4948716368836033,0.6197839514245518,0.5912505225988272,0.7062314540059347,0.6185662951984636,0.6210064110521262,0.6197839514245518,1773.8850040912628,2497.92,domain
15,10x Visium,DLPFC,151508,Banksy,0.4964269998021309,0.6646217969940498,0.5917631343253558,0.7263181921935631,0.6679744963891899,0.6613025852731905,0.6646217969940498,15.666196012496949,704.4105987548828,domain
16,10x Visium,DLPFC,151508,BayesSpace,0.386321963438059,0.53844252668989,0.4996397843321599,0.6498516320474778,0.545383784056382,0.5316757356257179,0.53844252668989,2152.655988025665,9318.94,domain
17,10x Visium,DLPFC,151508,CCST,0.3394003774424869,0.5453000666336197,0.4931569451915958,0.5998173932892034,0.5084080196185045,0.5880039049220042,0.5453000666336197,358.66012744903566,1682.0523515701293,domain
