,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Simulation
0,scCube,sim6,sim6_151669_151673,BASS,151673,151669,0.331467589237272,0.5719474541254381,0.49860694467982797,0.7230897936419409,0.6053757713755615,0.542017713086932,0.571947454125438,Add adjacent domain
1,scCube,sim6,sim6_151669_151673,Banksy,151673,151669,0.46086829780134453,0.6633462383680069,0.6004870900323093,0.7844952593418851,0.6892554909128795,0.6394042957851628,0.6633462383680069,Add adjacent domain
2,scCube,sim6,sim6_151669_151673,BayesSpace,151673,151669,0.48913697232845693,0.6741769402330211,0.6203544293972686,0.8106525376464028,0.7104245576203003,0.6414486444710356,0.6741769402330211,Add adjacent domain
3,scCube,sim6,sim6_151669_151673,CCST,151673,151669,0.394526849230999,0.5868656441600846,0.5543274230395737,0.7408254322364752,0.6000296392559566,0.5743656522551773,0.5868656441600846,Add adjacent domain
4,scCube,sim6,sim6_151669_151673,CellCharter,151673,151669,0.33090370486191223,0.5390188957785519,0.49645327424995944,0.7204127161182375,0.5737293080554118,0.5082762118406969,0.539018895778552,Add adjacent domain
5,scCube,sim6,sim6_151669_151673,DeepST,151673,151669,0.4690173818861004,0.66091672868333,0.6104701679674618,0.7646960401561629,0.6714412661610626,0.651142671745095,0.6609167286833301,Add adjacent domain
6,scCube,sim6,sim6_151669_151673,GraphST,151673,151669,0.435865709007918,0.6657125374510061,0.576758498369459,0.8025655326268823,0.7189301693272667,0.6198305901110553,0.6657125374510061,Add adjacent domain
7,scCube,sim6,sim6_151669_151673,PRECAST,151673,151669,0.2327600612992132,0.3685664843643288,0.42260659460495653,0.6296709425543782,0.38943149143799766,0.34982359396366813,0.36856648436432876,Add adjacent domain
8,scCube,sim6,sim6_151669_151673,SEDR,151673,151669,0.49732952072589437,0.6741362956728449,0.6266023599063033,0.8119910764082544,0.7131437758245737,0.6391774099319699,0.6741362956728449,Add adjacent domain
9,scCube,sim6,sim6_151669_151673,STAGATE,151673,151669,0.4907779272221993,0.681442177756057,0.6217981017179074,0.8139431121026213,0.7166415580861584,0.6495387040938561,0.681442177756057,Add adjacent domain
10,scCube,sim6,sim6_151669_151673,SpaGCN,151673,151669,0.3829417777638648,0.5683994146457824,0.5422191492813302,0.7548800892359174,0.5881768992114372,0.5499087006214125,0.5683994146457823,Add adjacent domain
11,scCube,sim6,sim6_151669_151673,SpaceFlow,151673,151669,0.33531060286002684,0.5298453078414308,0.4955718375404629,0.7329615170105968,0.5739720826515422,0.4920192988008564,0.5298453078414307,Add adjacent domain
12,scCube,sim6,sim6_151669_151673,SpatialMGCN,151673,151669,0.3655079400428386,0.5264378326305659,0.5238684606629633,0.711377579475739,0.5565353090428864,0.499428687142973,0.526437832630566,Add adjacent domain
