,Tech,Dataset,Sample,Method,Tissue,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Memory,Time
30,Slideseq,mammalian spermatogenesis,Diabetes_3_data,CellCharter,Testis,0.116202166,0.203369264,0.280467041,0.553506175,0.234188871,0.179730491,0.203369264,896.672757,1679.241673
31,Slideseq,mammalian spermatogenesis,Diabetes_3_data,DeepST,Testis,0.148824365,0.284569563,0.307230036,0.649621722,0.342197893,0.249256437,0.284569563,39066.52124,1399.405667
32,Slideseq,mammalian spermatogenesis,Diabetes_3_data,GraphST,Testis,0.138838785,0.192024824,0.311474669,0.534613199,0.213628748,0.174389136,0.192024824,35639.97929,216.4728887
33,Slideseq,mammalian spermatogenesis,Diabetes_3_data,PRECAST,Testis,0.113332285,0.240422416,0.284674657,0.585796338,0.272566841,0.215059913,0.240422416,4965.64,505.7700014
34,Slideseq,mammalian spermatogenesis,Diabetes_3_data,SEDR,Testis,0.174206741,0.283262458,0.343073334,0.634137735,0.313814359,0.258160907,0.283262458,30392.33338,213.3838186
35,Slideseq,mammalian spermatogenesis,Diabetes_3_data,STAGATE,Testis,0.126025511,0.231506698,0.297531213,0.59649532,0.26126732,0.207868399,0.231506698,910.8486496,335.6304731
36,Slideseq,mammalian spermatogenesis,Diabetes_3_data,SpaGCN,Testis,0.182775838,0.31155789,0.338173126,0.658772166,0.358756477,0.275334443,0.31155789,21791.06822,1016.959646
37,Slideseq,mammalian spermatogenesis,Diabetes_3_data,SpaceFlow,Testis,0.11092178,0.199376096,0.279026834,0.550270626,0.226953216,0.177816023,0.199376096,892.495454,771.782555
38,Slideseq,mammalian spermatogenesis,Diabetes_3_data,SpatialMGCN,Testis,0.154011718,0.263046053,0.32144929,0.612391974,0.294317209,0.237781778,0.263046053,9887.394979,555.6895906
39,Slideseq,mammalian spermatogenesis,Diabetes_3_data,stLearn,Testis,0.142656726,0.216022028,0.408322817,0.468496755,0.183784496,0.263013802,0.216022028,5682.489948,11.75789685
40,Slideseq,mammalian spermatogenesis,WT1_data,BASS,Testis,0.19167903,0.284580344,0.334768862,0.615749076,0.316527214,0.258491025,0.284580344,9164.4,3956.907019
41,Slideseq,mammalian spermatogenesis,WT1_data,Banksy,Testis,0.228060029,0.276710871,0.384081279,0.613538014,0.285713379,0.26833799,0.276710871,4526.563243,64.68943248
42,Slideseq,mammalian spermatogenesis,WT1_data,CCST,Testis,0.146699127,0.195636462,0.316624456,0.540572981,0.198155441,0.193180722,0.195636462,60116.85467,26051.21574
43,Slideseq,mammalian spermatogenesis,WT1_data,CellCharter,Testis,0.127779079,0.206035748,0.275139049,0.533276477,0.231586366,0.185564682,0.206035748,869.5553051,1670.737317
44,Slideseq,mammalian spermatogenesis,WT1_data,DeepST,Testis,0.144971775,0.24285603,0.300233209,0.581862977,0.265553962,0.223776669,0.24285603,37702.07952,975.5608158
45,Slideseq,mammalian spermatogenesis,WT1_data,GraphST,Testis,0.159959224,0.212514441,0.308260257,0.556650558,0.235161099,0.193846493,0.212514441,32042.31652,122.2878394
46,Slideseq,mammalian spermatogenesis,WT1_data,PRECAST,Testis,0.147687383,0.235009621,0.296544268,0.578120058,0.261885231,0.213136755,0.235009621,4804.08,462.5923465
47,Slideseq,mammalian spermatogenesis,WT1_data,SEDR,Testis,0.150228533,0.243772579,0.309454185,0.585331185,0.260781063,0.228950857,0.243772579,28036.94056,194.2297833
48,Slideseq,mammalian spermatogenesis,WT1_data,STAGATE,Testis,0.139405526,0.230268309,0.295910928,0.585628099,0.25181066,0.212125009,0.230268309,906.9154612,256.424501
49,Slideseq,mammalian spermatogenesis,WT1_data,SpaGCN,Testis,0.184017662,0.272295894,0.324509928,0.61265359,0.30643381,0.245001749,0.272295894,19429.50167,423.6430171
50,Slideseq,mammalian spermatogenesis,WT1_data,SpaceFlow,Testis,0.125077416,0.184408229,0.275673497,0.525019742,0.205363517,0.167334826,0.184408229,882.1078756,559.8270761
51,Slideseq,mammalian spermatogenesis,WT1_data,SpatialMGCN,Testis,0.11431367,0.182306555,0.266849998,0.549448814,0.202894184,0.165512079,0.182306555,8922.222667,390.3115686
52,Slideseq,mammalian spermatogenesis,WT1_data,stLearn,Testis,0.144941505,0.150143189,0.387068214,0.446729208,0.121543449,0.196345957,0.150143189,5552.823975,12.63440075
53,Slideseq,mammalian spermatogenesis,WT2_data,BASS,Testis,0.253087309,0.277387867,0.390653242,0.6287849,0.310135776,0.250895289,0.277387867,9386.1,4287.428675
54,Slideseq,mammalian spermatogenesis,WT2_data,Banksy,Testis,0.248196643,0.289715949,0.393366928,0.640263787,0.310874519,0.271325878,0.289715949,4874.547067,76.23363271
55,Slideseq,mammalian spermatogenesis,WT2_data,CCST,Testis,0.111579418,0.179628768,0.262513968,0.550349375,0.203569696,0.160726444,0.179628768,65652.18454,28252.99944
56,Slideseq,mammalian spermatogenesis,WT2_data,CellCharter,Testis,0.117409849,0.198176516,0.268870096,0.539986085,0.224040023,0.177670687,0.198176516,981.1454567,1674.452837
57,Slideseq,mammalian spermatogenesis,WT2_data,DeepST,Testis,0.162027408,0.254825104,0.313270462,0.61496113,0.282635486,0.232111421,0.254825104,38834.55384,1087.822965
58,Slideseq,mammalian spermatogenesis,WT2_data,GraphST,Testis,0.175258144,0.24302383,0.325614234,0.590671224,0.26935402,0.221382959,0.24302383,34894.59236,152.9694213
59,Slideseq,mammalian spermatogenesis,WT2_data,PRECAST,Testis,0.102970029,0.19690819,0.261124384,0.548608371,0.22036067,0.177967517,0.19690819,5109.5,449.7760106
60,Slideseq,mammalian spermatogenesis,WT2_data,SEDR,Testis,0.151728806,0.237874039,0.305130908,0.584415742,0.262151006,0.217741898,0.237874039,29890.59242,215.9120067
61,Slideseq,mammalian spermatogenesis,WT2_data,STAGATE,Testis,0.136697764,0.215345735,0.294603646,0.588354155,0.238493765,0.196298926,0.215345735,995.8566008,317.574779
62,Slideseq,mammalian spermatogenesis,WT2_data,SpaGCN,Testis,0.178610129,0.264982306,0.323679282,0.609637315,0.298346989,0.238329488,0.264982306,21294.94971,276.7940475
63,Slideseq,mammalian spermatogenesis,WT2_data,SpaceFlow,Testis,0.132435746,0.199574046,0.28125247,0.563041834,0.22601521,0.178673672,0.199574046,969.4688066,575.6001383
64,Slideseq,mammalian spermatogenesis,WT2_data,SpatialMGCN,Testis,0.164612497,0.212860702,0.315360861,0.588523549,0.236845573,0.193286927,0.212860702,9646.735076,376.3285512
65,Slideseq,mammalian spermatogenesis,WT2_data,stLearn,Testis,0.279746553,0.265926242,0.43091639,0.59223812,0.263033217,0.26928879,0.265926242,5715.665192,12.69342251
66,Slideseq,mammalian spermatogenesis,WT3_data,BASS,Testis,0.244403635,0.343762725,0.392776478,0.676988216,0.392084228,0.306044933,0.343762725,10627.58,3869.036104
67,Slideseq,mammalian spermatogenesis,WT3_data,Banksy,Testis,0.230367238,0.333507338,0.386478189,0.689022088,0.370642757,0.303157983,0.333507338,5663.267319,93.75956836
68,Slideseq,mammalian spermatogenesis,WT3_data,CCST,Testis,0.149765134,0.208515523,0.304016145,0.593225527,0.24345803,0.182344399,0.208515523,91789.77411,39960.61639
69,Slideseq,mammalian spermatogenesis,WT3_data,CellCharter,Testis,0.146127031,0.256141855,0.300969379,0.593842779,0.299104996,0.223972817,0.256141855,998.794422,1683.118314
70,Slideseq,mammalian spermatogenesis,WT3_data,DeepST,Testis,0.161670344,0.299387366,0.322200749,0.636928021,0.342853037,0.265731389,0.299387366,47788.2905,1336.065623
71,Slideseq,mammalian spermatogenesis,WT3_data,GraphST,Testis,0.250503511,0.226481766,0.411044722,0.549354691,0.246549833,0.209434706,0.226481766,48653.40867,253.1336004
72,Slideseq,mammalian spermatogenesis,WT3_data,PRECAST,Testis,0.195674865,0.284896637,0.346152268,0.624394225,0.331105475,0.250005984,0.284896637,5650.68,593.8325513
73,Slideseq,mammalian spermatogenesis,WT3_data,SEDR,Testis,0.237445832,0.343601987,0.388204424,0.682701627,0.388866108,0.307808034,0.343601987,40026.14627,282.6512313
74,Slideseq,mammalian spermatogenesis,WT3_data,STAGATE,Testis,0.148201347,0.269022034,0.319327881,0.630199459,0.302125451,0.242537767,0.269022034,1015.858301,345.2862144
75,Slideseq,mammalian spermatogenesis,WT3_data,SpaGCN,Testis,0.221926152,0.338369049,0.370133138,0.687624343,0.392698796,0.297245266,0.338369049,29949.50012,452.1302197
76,Slideseq,mammalian spermatogenesis,WT3_data,SpaceFlow,Testis,0.126604769,0.222358514,0.28712733,0.574223333,0.257165013,0.195882419,0.222358514,984.9653048,827.4836417
77,Slideseq,mammalian spermatogenesis,WT3_data,SpatialMGCN,Testis,0.111648316,0.226023908,0.303015445,0.58153854,0.247852201,0.208109805,0.226023908,16414.91406,17442.56563
78,Slideseq,mammalian spermatogenesis,WT3_data,stLearn,Testis,0.273588888,0.264742454,0.532367777,0.516145488,0.207869295,0.372957447,0.264742454,6651.57178,14.26409006
79,Slideseq,Brain,Mouse_Cortex,DeepST,Brain,0.0875076,0.148190445,0.184975978,0.325938386,0.148119273,0.148371615,0.148190445,40001.57015,3525.822173
80,Slideseq,Brain,Mouse_Cortex_data,BASS,Brain,0.094778613,0.182190246,0.235225957,0.339573221,0.161039298,0.209737188,0.182190246,11713.66,5467.588538
81,Slideseq,Brain,Mouse_Cortex_data,Banksy,Brain,0.089038373,0.193819268,0.19694217,0.392030602,0.192123263,0.195556539,0.193819268,1890.963704,44.39516048
82,Slideseq,Brain,Mouse_Cortex_data,CCST,Brain,0.062341008,0.135334379,0.160303236,0.31079925,0.137288199,0.133444213,0.135334379,114250.297,34590.60146
83,Slideseq,Brain,Mouse_Cortex_data,CellCharter,Brain,0.074709722,0.16042427,0.172433698,0.345096432,0.163716464,0.157296253,0.16042427,1035.144463,1667.470868
84,Slideseq,Brain,Mouse_Cortex_data,GraphST,Brain,0.081794644,0.138067235,0.17834784,0.333661748,0.140200891,0.135997547,0.138067235,54825.7898,150.4949627
85,Slideseq,Brain,Mouse_Cortex_data,PRECAST,Brain,0.050149624,0.090900841,0.142026134,0.297582191,0.09429894,0.087739128,0.090900841,2751.74,1186.93098
86,Slideseq,Brain,Mouse_Cortex_data,SEDR,Brain,0.08397042,0.175112461,0.200031015,0.331484597,0.169052782,0.181622733,0.175112461,41793.7419,379.4046607
87,Slideseq,Brain,Mouse_Cortex_data,STAGATE,Brain,0.056853713,0.153648654,0.165790905,0.329571779,0.152536544,0.154779155,0.153648654,786.480345,335.5095963
88,Slideseq,Brain,Mouse_Cortex_data,SpaGCN,Brain,0.054829647,0.123190188,0.174104818,0.313812659,0.11913257,0.127533956,0.123190188,34372.12663,4835.333213
89,Slideseq,Brain,Mouse_Cortex_data,SpaceFlow,Brain,0.084950369,0.140126472,0.177403705,0.329807276,0.143537555,0.13690106,0.140126472,1052.157892,1081.273684
90,Slideseq,Brain,Mouse_Cortex_data,SpatialMGCN,Brain,0.039053102,0.096236876,0.151625727,0.281429399,0.094813952,0.097707362,0.096236876,8274.09458,459.4413283
91,Slideseq,Brain,Mouse_Cortex_data,stLearn,Brain,0.06875587,0.150956692,0.264257514,0.315932138,0.118950074,0.206871987,0.150956692,1861.845884,11.67417951
92,Slideseq,Human Lung,Puck_200727_08,BASS,Lung,0.414482008,0.482864292,0.620186059,0.863720758,0.598783005,0.404547694,0.482864292,10189.16,2297.309598
93,Slideseq,Human Lung,Puck_200727_08,Banksy,Lung,0.413921667,0.431783766,0.61754192,0.828094,0.548679399,0.356250109,0.431783766,2549.507895,46.56269474
94,Slideseq,Human Lung,Puck_200727_08,CCST,Lung,0.558728171,0.424021558,0.732804758,0.800190971,0.458100717,0.394785888,0.424021558,24741.46007,7201.038047
95,Slideseq,Human Lung,Puck_200727_08,CellCharter,Lung,0.21055132,0.32700099,0.440619454,0.777932205,0.450855299,0.256556315,0.32700099,218.0999447,741.3092863
96,Slideseq,Human Lung,Puck_200727_08,DeepST,Lung,0.203028649,0.363435096,0.431750331,0.807012891,0.499607882,0.285736577,0.363435096,21374.38945,1276.511195
97,Slideseq,Human Lung,Puck_200727_08,GraphST,Lung,0.349859632,0.40545317,0.567285702,0.808286033,0.532841099,0.327222984,0.40545317,11405.19648,68.88999405
98,Slideseq,Human Lung,Puck_200727_08,PRECAST,Lung,0.216664622,0.331891484,0.451174442,0.791735186,0.445711068,0.264378203,0.331891484,1227.44,223.6922891
99,Slideseq,Human Lung,Puck_200727_08,SEDR,Lung,0.286021064,0.37409249,0.512558069,0.800806323,0.489172788,0.303013151,0.37409249,11839.2893,89.56805253
100,Slideseq,Human Lung,Puck_200727_08,STAGATE,Lung,0.264798268,0.373858122,0.489468282,0.807012891,0.505361684,0.296901287,0.373858122,307.9383749,213.186305
