,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Rep
0,SRTsim,sim4,SRTsim_4_1,CCST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.34919142723083,558.7268571853638,0.0,0.0629940788348703,0.3531642450835382,1
1,SRTsim,sim4,SRTsim_4_1,DeepST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,186.22407054901123,859.21435546875,0.0,0.0629940788348703,0.3531642450835382,1
2,SRTsim,sim4,SRTsim_4_1,GraphST,0.9986776859504132,0.9960304311109875,0.9993388352388972,0.9996694214876032,0.9960389139237844,0.996021948442678,0.9960304311109875,20.79704689979553,581.8765802383423,0.0003305785123966,0.0629940788348703,0.3531507869833472,1
3,SRTsim,sim4,SRTsim_4_1,SEDR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.965809106826782,386.6728792190552,0.0,0.0629940788348703,0.3531642450835382,1
4,SRTsim,sim4,SRTsim_4_1,SpaceFlow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.04249668121338,477.92333602905273,0.0,0.0629940788348703,0.3531642450835382,1
5,SRTsim,sim4,SRTsim_4_1,SpaGCN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.12801480293274,464.3245611190796,0.0,0.0629940788348703,0.3531642450835382,1
6,SRTsim,sim4,SRTsim_4_1,SpatialMGCN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.10614633560181,593.9310417175293,0.0,0.0629940788348703,0.3531642450835382,1
7,SRTsim,sim4,SRTsim_4_1,STAGATE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.70590281486511,477.9795942306519,0.0,0.0629940788348703,0.3531642450835382,1
8,SRTsim,sim4,SRTsim_4_1,stLearn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.483883380889893,348.6758279800415,0.0,0.0629940788348703,0.3531642450835382,1
9,SRTsim,sim4,SRTsim_4_2,CCST,0.9955252496896098,0.9922038552738432,0.9966439416774564,0.9983471074380166,0.9922024720251162,0.9922052385264272,0.9922038552738432,273.2400941848755,845.464822769165,0.0006611570247933,0.0629940788348703,0.1629628529014339,1
