,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Rep
0,SRTsim,sim3,SRTsim_3_1,CCST,0.9866387551893104,0.9790229763657544,0.9899790941778592,0.9950413223140496,0.9790200979133384,0.979025854835096,0.979022976365754,123.7547037601471,349.90120697021484,0.0033057851239669,0.0629940788348703,0.1623965336855136,1
1,SRTsim,sim3,SRTsim_3_1,DeepST,0.9946338087539348,0.9909769745203588,0.9959753659757268,0.99801652892562,0.9909745184474172,0.990979430605475,0.9909769745203588,183.47785329818728,252.99307823181152,0.00099173553719,0.0629940788348703,0.1630245038871736,1
2,SRTsim,sim3,SRTsim_3_1,GraphST,0.998206599085692,0.9966826285374576,0.9986549501000014,0.9993388429752066,0.996682010986031,0.9966832460896496,0.9966826285374578,22.71379375457764,315.62447929382324,0.0006611570247933,0.0630149033237413,0.1630262105283573,1
3,SRTsim,sim3,SRTsim_3_1,SEDR,0.9883878381596848,0.9809675677652993,0.9912909027727872,0.9957024793388428,0.9809646835955366,0.9809704519520214,0.980967567765299,26.96432638168335,230.42452144622803,0.0029752066115702,0.0629940788348703,0.1626602633115027,1
4,SRTsim,sim3,SRTsim_3_1,SpaceFlow,0.6815464755514209,0.829451738067357,0.7919156622153634,0.7451239669421488,0.7433728623654774,0.9380763025856226,0.829451738067357,34.98149108886719,200.85383319854736,0.0181818181818181,0.0629940788348703,0.1395654381782033,1
5,SRTsim,sim3,SRTsim_3_1,SpaGCN,0.99641785823604,0.9933665003996344,0.99731339367703,0.9986776859504132,0.9933665003996344,0.9933665003996344,0.9933665003996344,33.5075626373291,219.5767526626587,0.0013223140495867,0.0638422169945773,0.1622416032046547,1
6,SRTsim,sim3,SRTsim_3_1,SpatialMGCN,0.7034211728530749,0.8458527881151222,0.8091367143273439,0.7484297520661157,0.7438726136349816,0.9802370083593572,0.8458527881151221,58.17938661575317,136.73025035858154,0.0019834710743801,0.0629940788348703,-0.0506098504564266,1
7,SRTsim,sim3,SRTsim_3_1,STAGATE,0.999102715727924,0.9981759656718702,0.999327036894128,0.9996694214876032,0.9981758110528236,0.9981761202909648,0.9981759656718702,41.80089163780213,127.56200313568117,0.0003305785123966,0.0629940788348703,0.1630578689198639,1
8,SRTsim,sim3,SRTsim_3_1,stLearn,0.9692573902858576,0.9597345441983988,0.9769434913173848,0.9884297520661156,0.959714783842306,0.9597543053682328,0.9597345441983988,2.7246809005737305,36.39815711975098,0.0122314049586776,0.0644598050128076,0.1566524914614845,1
9,SRTsim,sim3,SRTsim_3_10,CCST,0.984017472162632,0.9760471817870096,0.9880131408541276,0.9940495867768596,0.9760440047890808,0.9760503588056204,0.9760471817870096,122.56214261054993,744.0517597198486,0.0036363636363636,0.0629940788348703,0.1626042293138959,1
10,SRTsim,sim3,SRTsim_3_10,DeepST,0.99820484947176,0.9963517755135356,0.9986536376934068,0.9993388429752066,0.996351312704282,0.996352238323219,0.9963517755135356,263.1145718097687,1477.9287405014038,0.0006611570247933,0.0629940788348703,0.1631147699449382,1
11,SRTsim,sim3,SRTsim_3_10,GraphST,0.6230623887785293,0.7777184552444532,0.742588656673466,0.7447933884297521,0.7255569294791394,0.83796089381422,0.7777184552444532,22.045071363449097,963.4705009460448,0.0452892561983471,0.0632418487989335,0.1391633177377136,1
12,SRTsim,sim3,SRTsim_3_10,SEDR,0.9946570270821794,0.989852323412436,0.995992741344825,0.99801652892562,0.9898603003429476,0.98984434661049,0.989852323412436,16.90418529510498,525.3298501968384,0.0016528925619834,0.0629940788348703,0.1628189136199902,1
13,SRTsim,sim3,SRTsim_3_10,SpaceFlow,0.6889560743285487,0.7985762662002953,0.7893255886159026,0.7590082644628099,0.734269131149031,0.8752286018527533,0.7985762662002953,17.194678783416748,859.1463680267334,0.0350413223140495,0.0630149033237413,0.1495722988084372,1
14,SRTsim,sim3,SRTsim_3_10,SpaGCN,0.9928543817926664,0.988118237647888,0.9946407894706027,0.9973553719008263,0.9881176254030168,0.9881188498935178,0.988118237647888,34.223400831222534,1042.0263576507568,0.0026446280991735,0.0634681222552766,0.1624186279899573,1
15,SRTsim,sim3,SRTsim_3_10,SpatialMGCN,0.9768909834959332,0.9673172954380092,0.98266889814418,0.991404958677686,0.9672785981881324,0.9673559957842788,0.9673172954380094,66.51774907112122,1067.6909275054932,0.0076033057851239,0.063375368446504,0.1596641459239697,1
