,Rep,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW
0,1,SRTsim,sim6,SRTsim_6_1,BASS,0.9991027157279241,0.9981759656718702,0.999327036894128,0.9996694214876033,0.9981758110528235,0.9981761202909648,0.9981759656718702,678.4027500152588,998.4,0.00033057851239669424,0.06299407883487033,0.1631059649955207
1,1,SRTsim,sim6,SRTsim_6_10,BASS,0.34243746647508044,0.4623799655643088,0.5759131877952735,0.548099173553719,0.3883546413706291,0.5712715801262813,0.4623799655643087,796.6235699653625,998.9,0.04528925619834711,0.06326742665048692,-0.05248477631821088
2,1,SRTsim,sim6,SRTsim_6_2,BASS,0.9991347962894188,0.9981847947491789,0.9993511028131642,0.9996694214876033,0.9981758110528232,0.9981937786072448,0.9981847947491789,777.6752700805664,998.5,0.00033057851239669424,0.06299407883487035,0.1628539129813086
3,1,SRTsim,sim6,SRTsim_6_3,BASS,0.9954642907440269,0.9916439604967273,0.9966011668455769,0.9983471074380166,0.9916595363821253,0.9916283851006189,0.9916439604967273,685.6027398109436,998.6,0.001322314049586777,0.06299407883487035,0.16303464414853952
4,1,SRTsim,sim6,SRTsim_6_4,BASS,0.9931005791886811,0.9877317870203164,0.9948252823272403,0.9973553719008265,0.9877646282835844,0.9876989479407928,0.9877317870203165,665.7519099712372,998.6,0.001652892561983471,0.06299407883487036,0.16278016318083482
5,1,SRTsim,sim6,SRTsim_6_5,BASS,0.9846754352451689,0.9752638131108662,0.9885177058241338,0.9943801652892562,0.9751767039120157,0.9753509378734403,0.9752638131108662,803.8094301223755,998.6,0.003305785123966942,0.06328562167906479,0.1624117661354814
6,1,SRTsim,sim6,SRTsim_6_6,BASS,0.9919582620214304,0.9860292936408791,0.9939686991542518,0.9970247933884298,0.9860288356264584,0.9860297516557253,0.986029293640879,720.6361601352692,998.7,0.001652892561983471,0.06299407883487036,0.16310897429060142
7,1,SRTsim,sim6,SRTsim_6_7,BASS,0.9737990298830763,0.9569885066301693,0.9803485677681609,0.9900826446280991,0.9570266585180304,0.9569503577840388,0.9569885066301694,717.8769400119781,998.8,0.00628099173553719,0.06391035634519576,0.16167745589896654
8,1,SRTsim,sim6,SRTsim_6_8,BASS,0.9638969505703666,0.9501988574594737,0.972919276494778,0.9861157024793389,0.9503342019587201,0.9500635515056675,0.9501988574594737,710.1954400539398,998.8,0.007603305785123967,0.06378700893306331,0.16129315475917413
9,1,SRTsim,sim6,SRTsim_6_9,BASS,0.9033919251520951,0.8865056933895211,0.9276189763246565,0.9619834710743802,0.8863540006378496,0.8866574380722034,0.8865056933895211,801.4974699020386,998.9,0.015206611570247934,0.06431329244274353,0.15764744641425757
10,2,SRTsim,sim6,SRTsim_6_1,BASS,0.9991027157279241,0.9981759656718702,0.999327036894128,0.9996694214876033,0.9981758110528235,0.9981761202909648,0.9981759656718702,678.9509501457214,998.9,0.00033057851239669424,0.06299407883487033,0.1631059649955207
