,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Rep
0,SRTsim,sim5,SRTsim_5_1,BASS,0.774205787047328,0.7849025374191306,0.835954521321741,0.9176389842141386,0.7774377060828639,0.7925121107552952,0.7849025374191306,6.26281637350718,971.1,0.0360329444063143,0.0415428738810925,0.0241857445598547,1
1,SRTsim,sim5,SRTsim_5_1,BayesSpace,0.8486674251296307,0.8454639138017174,0.8885528246497727,0.943719972546328,0.8469046864781082,0.8440280349474898,0.8454639138017174,23.9652703881264,5777.9,0.1455044612216884,0.0452382383379812,0.0156804176749074,1
2,SRTsim,sim5,SRTsim_5_1,CCST,0.6995637337089787,0.7019813217903692,0.7798204740023462,0.8850377487989018,0.6999343916999298,0.7040402593262082,0.7019813217903692,101.30201864242554,414.9337644577026,0.0566231983527796,0.0412827087430771,0.0208626545812227,1
3,SRTsim,sim5,SRTsim_5_1,DeepST,0.8116565441657194,0.799408145780124,0.8620623055895188,0.9306794783802332,0.7966190742144789,0.8022168157992725,0.799408145780124,159.38399934768677,770.8091154098511,0.0518188057652711,0.0415543075095702,0.0205797211370127,1
4,SRTsim,sim5,SRTsim_5_1,GraphST,0.4798898587630535,0.5591353751887144,0.6192355210557907,0.7292381606039808,0.5568802586637471,0.5614088304082514,0.5591353751887144,19.311908721923828,571.527777671814,0.1036376115305422,0.0413476863811203,0.0184647358723288,1
5,SRTsim,sim5,SRTsim_5_1,PRECAST,0.7453931405648355,0.7740790125477358,0.8147847151518276,0.9063143445435828,0.7673406087850038,0.780936811402856,0.7740790125477358,1.19667356014252,366.9,0.0411805078929306,0.0429845808208295,0.0225236262778306,1
6,SRTsim,sim5,SRTsim_5_1,SEDR,0.6850115062487715,0.7123775057285234,0.7719621560311698,0.8798901853122855,0.7035773178803619,0.7214006235000098,0.7123775057285235,20.184590816497803,364.79096698760986,0.01681537405628,0.0403909945686245,0.0263766156434252,1
7,SRTsim,sim5,SRTsim_5_1,SpaceFlow,0.4299908356197344,0.5374176665448632,0.5839039471513241,0.709334248455731,0.5338101567250049,0.5410742675081791,0.5374176665448632,35.46163535118103,469.2877788543701,0.2553191489361702,0.0484105604182404,0.0086781372499869,1
8,SRTsim,sim5,SRTsim_5_1,SpaGCN,0.7179158159652339,0.7691737922654971,0.7914696276406659,0.8764805414551607,0.772123437183549,0.7662465978888031,0.769173792265497,40.90679597854614,679.4648475646973,0.2019176536943034,0.0347597379667838,0.0097458626730153,1
9,SRTsim,sim5,SRTsim_5_1,SpatialMGCN,0.5245616431192253,0.6351363645432678,0.6798372433129681,0.7189430336307481,0.5841965723524271,0.6958082877635903,0.6351363645432677,72.41445899009705,460.57640743255615,0.0737817433081674,0.0419517081319423,-0.0527880319666844,1
10,SRTsim,sim5,SRTsim_5_1,STAGATE,0.7273097654621925,0.7253150062478837,0.800325388119805,0.8970487302676733,0.7226146668706754,0.7280356031265017,0.7253150062478836,74.6760561466217,460.1180830001831,0.0741249142072752,0.041945090633112,0.0198638940958675,1
11,SRTsim,sim5,SRTsim_5_1,stLearn,0.9507549288918132,0.9431528557586664,0.9637598985523546,0.9821551132463968,0.9441181587602242,0.9421895246673634,0.9431528557586664,2.5780117511749268,335.07391929626465,0.1407000686341798,0.0467677530064113,0.0166706668624789,1
12,SRTsim,sim5,SRTsim_5_2,BASS,0.9923839182875492,0.985982535556472,0.9943315794049304,0.9973118279569892,0.9859228264187496,0.9860422519268032,0.985982535556472,10.98234385252,965.1,0.0168010752688172,0.0399547800457826,0.1713841923376823,1
13,SRTsim,sim5,SRTsim_5_2,BayesSpace,0.9480330326017689,0.9337123100860536,0.9613125831537306,0.9815188172043012,0.9339041960259288,0.9335205029822096,0.9337123100860536,24.1706016898155,5895.7,0.0319220430107526,0.0423150001916675,0.1634238774730789,1
14,SRTsim,sim5,SRTsim_5_2,CCST,0.9343406700856411,0.9113348271549648,0.9511347481043854,0.9761424731182796,0.9112020680348368,0.911467624965857,0.9113348271549648,101.83799982070924,487.1137380599976,0.0191532258064516,0.0405908327609112,0.1701708073124403,1
15,SRTsim,sim5,SRTsim_5_2,DeepST,0.9821744866410496,0.9719394188927176,0.9867309208773956,0.9936155913978496,0.972034087108536,0.9718447691149324,0.9719394188927176,164.4162826538086,787.7098054885864,0.0131048387096774,0.0393767720008969,0.1721725669786724,1
16,SRTsim,sim5,SRTsim_5_2,GraphST,0.5902818467369633,0.6855616134232944,0.6954300253585359,0.7348790322580645,0.6846899708219052,0.6864354781377601,0.6855616134232945,16.45992922782898,583.4400844573975,0.0950940860215053,0.0404597754596896,0.0769403485395932,1
17,SRTsim,sim5,SRTsim_5_2,PRECAST,0.6831745302697957,0.7435354096413024,0.7641219371451093,0.852486559139785,0.7437273860311931,0.7433435323345547,0.7435354096413025,1.23936063051224,268.1,0.0305779569892473,0.040059670141019,0.1076312426158005,1
18,SRTsim,sim5,SRTsim_5_2,SEDR,0.9630451841386626,0.9477837692218276,0.9725048653899616,0.9868951612903226,0.9474241819663276,0.9481436295378876,0.9477837692218276,17.705821990966797,376.5839576721192,0.0110887096774193,0.0393145697066001,0.1715789808529271,1
19,SRTsim,sim5,SRTsim_5_2,SpaceFlow,0.9309888908479662,0.9196385445778752,0.9486324057267792,0.9751344086021504,0.9196681715658988,0.919608919498649,0.9196385445778752,23.62144947052002,479.2297468185425,0.0154569892473118,0.0398291452489231,0.1711420276771836,1
20,SRTsim,sim5,SRTsim_5_2,SpaGCN,0.8026322078476671,0.8301186335220645,0.8530999756463775,0.919536984754376,0.8292679735355357,0.830971040508326,0.8301186335220645,36.02680993080139,678.6989622116089,0.0824392998306041,0.0320139740355127,0.1326662720387787,1
21,SRTsim,sim5,SRTsim_5_2,SpatialMGCN,0.9374125760756198,0.916908869527681,0.9534040584619856,0.977486559139785,0.9171742919568004,0.9166436006760988,0.916908869527681,54.94596242904663,470.08137702941895,0.0157930107526881,0.0401933376293221,0.1707026044578418,1
22,SRTsim,sim5,SRTsim_5_2,STAGATE,0.9620207463491292,0.9453824956929536,0.9717346626247632,0.9865591397849462,0.945276038138812,0.945488977228423,0.9453824956929536,58.18918585777283,469.6171340942383,0.0147849462365591,0.0396265228969777,0.1717940129770777,1
23,SRTsim,sim5,SRTsim_5_2,stLearn,0.9624870605966254,0.954195828108024,0.972077026077334,0.9865591397849462,0.9542535279616756,0.9541381352317042,0.954195828108024,2.041883945465088,341.8618059158325,0.0292338709677419,0.041498123884193,0.1647551243313651,1
24,SRTsim,sim5,SRTsim_5_3,BASS,0.9850135816938992,0.9722869648671147,0.9889661966794042,0.9937023533311236,0.9722004241752426,0.9723735209672462,0.9722869648671147,8.93199083010356,961.2,0.0291680477295326,0.0404340319584863,-0.0995351841824829,1
25,SRTsim,sim5,SRTsim_5_3,BayesSpace,0.6985183265350167,0.7899571926714559,0.7873109478287011,0.8253231687106397,0.761339163375448,0.8208107016409582,0.7899571926714558,24.4958191633224,5974.0,0.1166721909181306,0.0416181773856871,0.0274379513695508,1
26,SRTsim,sim5,SRTsim_5_3,CCST,0.8922158151811971,0.8622239119245626,0.920537197197,0.9585681140205502,0.8634399805203995,0.8610112639324011,0.8622239119245626,103.63005256652832,497.9422607421875,0.0298309579052038,0.0406769161885825,-0.0967795478749196,1
27,SRTsim,sim5,SRTsim_5_3,DeepST,0.9596904322851724,0.937160021358884,0.9703244643113544,0.9844216108717267,0.9370154577624096,0.9373046295690473,0.9371600213588838,164.1316499710083,799.0421361923218,0.025522041763341,0.0403038840454647,-0.0986115023770534,1
28,SRTsim,sim5,SRTsim_5_3,GraphST,0.9275651873019998,0.9006104712843985,0.9466815750920016,0.9721577726218096,0.9000713745511696,0.901150214187409,0.9006104712843984,16.693021774291992,591.4254322052002,0.027179317202519,0.0402222627864464,-0.1026279479100339,1
29,SRTsim,sim5,SRTsim_5_3,PRECAST,0.930495189232256,0.9045374299503164,0.9488229994097396,0.9718263175339742,0.9045204765770244,0.9045543839591323,0.9045374299503164,1.21998836994171,430.6,0.025522041763341,0.040508597625596,-0.0991727055327877,1
30,SRTsim,sim5,SRTsim_5_3,SEDR,0.9402284989791664,0.9170038777797508,0.955960685486414,0.9764666887636724,0.9176637685018486,0.9163449354286564,0.9170038777797508,18.593138456344604,384.5489301681519,0.022207490884985,0.0403210325116116,-0.0980890498782921,1
31,SRTsim,sim5,SRTsim_5_3,SpaceFlow,0.3349200004250856,0.3941162237176888,0.5062718165213915,0.580046403712297,0.3977982236098222,0.3905017595217719,0.3941162237176888,15.836118698120115,485.4109878540039,0.6499834272456082,0.0566136970989188,-0.0430524187665229,1
32,SRTsim,sim5,SRTsim_5_3,SpaGCN,0.8325482125168157,0.8118664525759798,0.8764640536979773,0.9094934957099364,0.8146669049041401,0.8090851876396411,0.8118664525759797,41.22760844230652,692.2783603668213,0.1143094381400498,0.031567132820581,-0.0957815679953449,1
33,SRTsim,sim5,SRTsim_5_3,SpatialMGCN,0.6155411281707847,0.7471764114436412,0.7258561807807438,0.8133907855485581,0.7258989245049499,0.7697389329449762,0.7471764114436412,56.71128463745117,476.4532451629639,0.0845210473980775,0.040834749363226,0.0322802192093906,1
34,SRTsim,sim5,SRTsim_5_3,STAGATE,0.7028910068776154,0.758451258537332,0.7931520510507618,0.8100762346702022,0.7124561155135151,0.8107950199172347,0.758451258537332,58.8889844417572,476.0734434127808,0.0613191912495856,0.0413901738034812,0.0177877279846677,1
35,SRTsim,sim5,SRTsim_5_3,stLearn,0.9635808750809908,0.945103737939664,0.9731684452656072,0.9827643354325488,0.9459919179380906,0.944217224179046,0.945103737939664,2.148588180541992,346.56563663482666,0.0523699038780245,0.042153620495372,-0.0969024713976853,1
36,SRTsim,sim5,SRTsim_5_4,BASS,0.9828082449316496,0.9623173920988508,0.9906714420427876,0.993941433860653,0.9650657668534368,0.9595846268780936,0.9623173920988508,7.83117194573085,965.7,0.0292830696735106,0.040590057227364,-0.087004525191052,1
37,SRTsim,sim5,SRTsim_5_4,BayesSpace,0.2968430134925607,0.541719241365179,0.5581384772828369,0.8185796028273309,0.6193291615022478,0.4813943318190342,0.5417192413651791,24.1829948941867,7129.7,0.3157186132615281,0.045152601825753,-0.0064420465419983,1
38,SRTsim,sim5,SRTsim_5_4,CCST,0.4382098944009941,0.5728464368729403,0.6509429295557453,0.8700774150117806,0.6643708315913229,0.5034857350500971,0.5728464368729403,100.87039065361024,485.7928171157837,0.165264220801077,0.0425413040280406,-0.0479832604522598,1
39,SRTsim,sim5,SRTsim_5_4,DeepST,0.9594610814685266,0.9265481880708836,0.9781957477823278,0.9868731066980816,0.9221442731339488,0.9309943687022456,0.9265481880708836,172.91828155517578,786.2263975143433,0.02019522046449,0.0397611997006461,-0.0946984966117649,1
40,SRTsim,sim5,SRTsim_5_4,GraphST,0.2778247149754935,0.441926521531753,0.5468142010333225,0.8047795355099293,0.5045047241851032,0.3931594609953276,0.441926521531753,16.191032886505127,582.4210081100464,0.1925277684281386,0.0427795205094631,-0.0099672615836982,1
41,SRTsim,sim5,SRTsim_5_4,PRECAST,0.7155511811104274,0.6858806851762322,0.8489743686933025,0.8185796028273309,0.6321391418517998,0.7496089694077682,0.6858806851762322,1.1841371178627,433.9,0.0558734432850892,0.0436827518580655,-0.0329008030347816,1
42,SRTsim,sim5,SRTsim_5_4,SEDR,0.5204516986017559,0.6613947034129901,0.7085860679875147,0.9010434197239988,0.7567994539703282,0.5873511861857617,0.6613947034129902,19.45962619781494,375.566780090332,0.141703130259172,0.0429686971857668,-0.0537969715094823,1
